AL, 16, 2004112712, 03, A9UK,  72, 303N,  465W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AEMN,   0, 260N,  441W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AEMN,   6, 263N,  443W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AEMN,  12, 268N,  443W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AEMN,  18, 275N,  448W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AEMN,  24, 281N,  453W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AEMN,  30, 286N,  462W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AEMN,  36, 288N,  471W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AEMN,  42, 289N,  480W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AEMN,  48, 291N,  487W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AEMN,  54, 297N,  494W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AEMN,  60, 304N,  499W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AEMN,  66, 310N,  504W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AEMN,  72, 318N,  508W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AEMN,  78, 326N,  508W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AEMN,  84, 333N,  506W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AEMN,  90, 342N,  500W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AEMN,  96, 347N,  490W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AEMN, 102, 356N,  479W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AEMN, 108, 356N,  471W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AEMN, 114, 353N,  464W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AEMN, 120, 349N,  451W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AEMN, 126, 346N,  446W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AEMN, 132, 342N,  440W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AEMN, 138, 374N,  392W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AMMN,   0, 259N,  441W,  27, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AMMN,   6, 261N,  442W,  22, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AMMN,  12, 272N,  443W,  16, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AMMN,  18, 277N,  450W,  19, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AMMN,  24, 278N,  456W,  22, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AMMN,  30, 281N,  458W,  18, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AMMN,  36, 288N,  464W,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AMMN,  42, 291N,  473W,  19, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AMMN,  48, 296N,  487W,  23, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AMMN,  54, 300N,  496W,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AMMN,  60, 308N,  502W,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AMMN,  66, 311N,  508W,  15, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AMMN,  72, 319N,  509W,  15, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AMMN,  78, 327N,  505W,  14, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AMMN,  84, 335N,  495W,  14, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AMMN,  90, 351N,  480W,  14, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AMMN,  96, 363N,  460W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AMMN, 102, 369N,  448W,  14, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AN01,   0, 256N,  438W,  50, 1003, XX,  34, NEQ,  338,    0,    0,  314, 
AL, 16, 2004112712, 03, AN01,   6, 248N,  446W,  34, 1000, XX,  34, NEQ,    0,    0,    0,  184, 
AL, 16, 2004112712, 03, AN01,  12, 243N,  444W,  27, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AN01,  18, 249N,  441W,  28, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AN01,  24, 258N,  438W,  28, 1004, XX,  34, NEQ,  317,    0,    0,  334, 
AL, 16, 2004112712, 03, AN01,  30, 268N,  440W,  32, 1002, XX,  34, NEQ,  257,    0,    0,  274, 
AL, 16, 2004112712, 03, AN01,  36, 273N,  449W,  37, 1004, XX,  34, NEQ,  269,    0,    0,  249, 
AL, 16, 2004112712, 03, AN01,  42, 278N,  460W,  36, 1002, XX,  34, NEQ,  325,    0,    0,  254, 
AL, 16, 2004112712, 03, AN01,  48, 275N,  468W,  34, 1004, XX,  34, NEQ,  635,    0,    0,  275, 
AL, 16, 2004112712, 03, AN01,  54, 277N,  473W,  29, 1003, XX,  34, NEQ,  341,    0,    0,    0, 
AL, 16, 2004112712, 03, AN01,  60, 279N,  471W,  23, 1005, XX,  34, NEQ,  635,    0,    0,    0, 
AL, 16, 2004112712, 03, AN01,  66, 284N,  468W,  21, 1003, XX,  34, NEQ,  650,    0,    0,    0, 
AL, 16, 2004112712, 03, AN01,  72, 298N,  471W,  18, 1005, XX,  34, NEQ,  645,    0,    0,    0, 
AL, 16, 2004112712, 03, AN01,  78, 310N,  475W,  16, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AN02,   0, 260N,  445W,  28, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AN02,   6, 263N,  445W,  23, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AN02,  12, 268N,  442W,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AN02,  18, 273N,  442W,  25, 1004, XX,  34, NEQ,  645,    0,    0,    0, 
AL, 16, 2004112712, 03, AN02,  24, 281N,  442W,  25, 1005, XX,  34, NEQ,  306,    0,    0,    0, 
AL, 16, 2004112712, 03, AN02,  30, 288N,  447W,  28, 1003, XX,  34, NEQ,  289,    0,    0,  318, 
AL, 16, 2004112712, 03, AN02,  36, 298N,  458W,  37, 1004, XX,  34, NEQ,  270,    0,    0,  276, 
AL, 16, 2004112712, 03, AN02,  42, 303N,  473W,  34, 1004, XX,  34, NEQ,  317,    0,    0,  236, 
AL, 16, 2004112712, 03, AN02,  48, 310N,  488W,  36, 1005, XX,  34, NEQ,  345,    0,    0,  182, 
AL, 16, 2004112712, 03, AN02,  54, 317N,  504W,  35, 1003, XX,  34, NEQ,  307,    0,    0,    0, 
AL, 16, 2004112712, 03, AN02,  60, 323N,  515W,  27, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AN02,  66, 329N,  521W,  22, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AN02,  72, 330N,  523W,  19, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AN02,  78, 332N,  516W,  22, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AN02,  84, 334N,  505W,  21, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AN02,  90, 337N,  495W,  23, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AN02,  96, 340N,  480W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AN02, 102, 341N,  466W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AN02, 108, 335N,  452W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AN02, 114, 327N,  446W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AN02, 120, 319N,  440W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AN02, 126, 316N,  440W,  12, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AN02, 132, 311N,  446W,  12, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AN02, 138, 320N,  442W,  13, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 16, 2004112712, 03, AN03,   0, 251N,  441W,  42, 1009, XX,  34, NEQ,  344,    0,    0,  256, 
AL, 16, 2004112712, 03, AN03,   6, 252N,  458W,  35, 1005, XX,  34, NEQ,  237,    0,    0,  185, 
AL, 16, 2004112712, 03, AN03,  12, 254N,  471W,  31, 1007, XX,  34, NEQ,  645,    0,    0,    0, 
